Atleta,Squadra,Set_andata_1,Set_andata_2,Set_andata_3,Set_andata_4,Set_andata_5,Set_andata_6,Set_andata_7,Set_andata_8,Set_andata_9,Set_andata_10,Set_andata_11,Set_andata_12,Set_andata_13,Set_ritorno_1,Set_ritorno_2,Set_ritorno_3,Set_ritorno_4,Set_ritorno_5,Set_ritorno_6,Set_ritorno_7,Set_ritorno_8,Set_ritorno_9,Set_ritorno_10,Set_ritorno_11,Set_ritorno_12,Set_ritorno_13,Attacco_andata_1,Attacco_andata_2,Attacco_andata_3,Attacco_andata_4,Attacco_andata_5,Attacco_andata_6,Attacco_andata_7,Attacco_andata_8,Attacco_andata_9,Attacco_andata_10,Attacco_andata_11,Attacco_andata_12,Attacco_andata_13,Attacco_ritorno_1,Attacco_ritorno_2,Attacco_ritorno_3,Attacco_ritorno_4,Attacco_ritorno_5,Attacco_ritorno_6,Attacco_ritorno_7,Attacco_ritorno_8,Attacco_ritorno_9,Attacco_ritorno_10,Attacco_ritorno_11,Attacco_ritorno_12,Attacco_ritorno_13,DiffSet_andata_1,DiffSet_andata_2,DiffSet_andata_3,DiffSet_andata_4,DiffSet_andata_5,DiffSet_andata_6,DiffSet_andata_7,DiffSet_andata_8,DiffSet_andata_9,DiffSet_andata_10,DiffSet_andata_11,DiffSet_andata_12,DiffSet_andata_13,DiffSet_ritorno_1,DiffSet_ritorno_2,DiffSet_ritorno_3,DiffSet_ritorno_4,DiffSet_ritorno_5,DiffSet_ritorno_6,DiffSet_ritorno_7,DiffSet_ritorno_8,DiffSet_ritorno_9,DiffSet_ritorno_10,DiffSet_ritorno_11,DiffSet_ritorno_12,DiffSet_ritorno_13,DiffAtt_andata_1,DiffAtt_andata_2,DiffAtt_andata_3,DiffAtt_andata_4,DiffAtt_andata_5,DiffAtt_andata_6,DiffAtt_andata_7,DiffAtt_andata_8,DiffAtt_andata_9,DiffAtt_andata_10,DiffAtt_andata_11,DiffAtt_andata_12,DiffAtt_andata_13,DiffAtt_ritorno_1,DiffAtt_ritorno_2,DiffAtt_ritorno_3,DiffAtt_ritorno_4,DiffAtt_ritorno_5,DiffAtt_ritorno_6,DiffAtt_ritorno_7,DiffAtt_ritorno_8,DiffAtt_ritorno_9,DiffAtt_ritorno_10,DiffAtt_ritorno_11,DiffAtt_ritorno_12,DiffAtt_ritorno_13
Hernandez Ramos Fernando,LPR Piacenza,4,7,12,17,21,26,29,33,37,40,43,47,51,55,59,62,66,69,73,78,83,87,90,95,99,104,17,30,50,68,94,127,146,168,184,196,208,228,249,271,288,297,309,323,341,367,380,398,411,439,459,484,4,3,5,5,4,5,3,4,4,3,3,4,4,4,4,3,4,3,4,5,5,4,3,5,4,5,17,13,20,18,26,33,19,22,16,12,12,20,21,22,17,9,12,14,18,26,13,18,13,28,20,25
Sabbi Giulio,Exprivia Molfetta,4,7,11,16,19,23,27,30,35,39,43,47,52,54,57,60,64,67,72,77,81,84,88,92,97,100,21,32,62,84,90,111,123,135,157,181,202,223,248,248,264,283,302,313,335,368,385,395,407,422,448,457,4,3,4,5,3,4,4,3,5,4,4,4,5,2,3,3,4,3,5,5,4,3,4,4,5,3,21,11,30,22,6,21,12,12,22,24,21,21,25,0,16,19,19,11,22,33,17,10,12,15,26,9
Miskevich Radzivon,Biosì Indexa Sora,3,6,9,13,16,20,23,26,31,34,39,44,49,52,56,59,62,66,70,75,79,83,88,92,95,98,8,17,27,41,56,77,86,98,126,137,162,185,208,218,230,241,247,256,271,295,315,332,355,382,397,407,3,3,3,4,3,4,3,3,5,3,5,5,5,3,4,3,3,4,4,5,4,4,5,4,3,3,8,9,10,14,15,21,9,12,28,11,25,23,23,10,12,11,6,9,15,24,20,17,23,27,15,10
Torres Maurice Armando,Bunge Ravenna,3,8,13,18,22,26,30,35,39,42,45,49,54,58,62,66,69,72,77,80,84,87,90,93,97,100,8,33,49,74,84,101,120,136,161,173,186,196,219,242,259,269,281,289,306,317,334,341,355,369,381,393,3,5,5,5,4,4,4,5,4,3,3,4,5,4,4,4,3,3,5,3,4,3,3,3,4,3,8,25,16,25,10,17,19,16,25,12,13,10,23,23,17,10,12,8,17,11,17,7,14,14,12,12
Sokolov Tsvetan,Cucine Lube Civitanova,3,6,10,14,17,22,25,30,34,37,40,44,49,52,56,59,62,65,69,73,77,80,83,88,91,95,14,25,42,58,68,85,100,122,146,156,166,180,201,211,225,238,246,259,276,287,298,303,316,331,341,355,3,3,4,4,3,5,3,5,4,3,3,4,5,3,4,3,3,3,4,4,4,3,3,5,3,4,14,11,17,16,10,17,15,22,24,10,10,14,21,10,14,13,8,13,17,11,11,5,13,15,10,14
Vettori Luca,Azimut Modena,3,7,12,15,18,21,25,28,32,36,41,45,50,53,58,62,65,70,73,78,81,86,90,93,97,101,17,32,50,60,63,72,88,100,109,119,132,151,171,182,196,214,223,236,247,266,276,295,306,321,335,348,3,4,5,3,3,3,4,3,4,4,5,4,5,3,5,4,3,5,3,5,3,5,4,3,4,4,17,15,18,10,3,9,16,12,9,10,13,19,20,11,14,18,9,13,11,19,10,19,11,15,14,13
Kovacevic Uros,Calzedonia Verona,3,6,11,16,16,20,23,26,28,33,36,39,42,46,49,52,55,58,62,66,69,72,75,80,83,85,15,28,48,67,67,84,95,102,102,124,134,140,154,173,188,202,216,228,241,260,269,278,293,309,313,320,3,3,5,5,0,4,3,3,2,5,3,3,3,4,3,3,3,3,4,4,3,3,3,5,3,2,15,13,20,19,0,17,11,7,0,22,10,6,14,19,15,14,14,12,13,19,9,9,15,16,4,7
Maar Stephen,Kioene Padova,3,7,12,15,18,23,26,30,34,39,42,47,50,54,58,62,65,68,72,76,81,85,88,93,96,99,13,25,36,51,59,75,87,100,111,122,125,135,142,152,169,174,179,189,203,221,239,253,260,274,287,294,3,4,5,3,3,5,3,4,4,5,3,5,3,4,4,4,3,3,4,4,5,4,3,5,3,3,13,12,11,15,8,16,12,13,11,11,3,10,7,10,17,5,5,10,14,18,18,14,7,14,13,7
De Barros Ferreira Joao Rafael,Exprivia Molfetta,4,7,11,16,19,23,27,30,35,39,43,47,52,56,59,62,66,69,74,79,83,86,90,94,99,102,15,21,25,35,45,51,69,84,99,112,127,136,152,169,181,191,198,209,220,235,244,252,262,279,286,291,4,3,4,5,3,4,4,3,5,4,4,4,5,4,3,3,4,3,5,5,4,3,4,4,5,3,15,6,4,10,10,6,18,15,15,13,15,9,16,17,12,10,7,11,11,15,9,8,10,17,7,5
Maruotti Gabriele,Top Volley Latina,3,8,12,15,18,21,25,29,34,39,42,47,52,56,60,63,66,71,74,79,84,88,91,95,98,102,9,29,39,45,52,66,80,96,106,114,128,143,152,158,164,168,176,188,200,214,223,232,238,250,262,275,3,5,4,3,3,3,4,4,5,5,3,5,5,4,4,3,3,5,3,5,5,4,3,4,3,4,9,20,10,6,7,14,14,16,10,8,14,15,9,6,6,4,8,12,12,14,9,9,6,12,12,13
