Atleta,Squadra,Set_andata_1,Set_andata_2,Set_andata_3,Set_andata_4,Set_andata_5,Set_andata_6,Set_andata_7,Set_andata_8,Set_andata_9,Set_andata_10,Set_andata_11,Set_andata_12,Set_andata_13,Set_ritorno_1,Set_ritorno_2,Set_ritorno_3,Set_ritorno_4,Set_ritorno_5,Set_ritorno_6,Set_ritorno_7,Set_ritorno_8,Set_ritorno_9,Set_ritorno_10,Set_ritorno_11,Set_ritorno_12,Set_ritorno_13,Totali_andata_1,Totali_andata_2,Totali_andata_3,Totali_andata_4,Totali_andata_5,Totali_andata_6,Totali_andata_7,Totali_andata_8,Totali_andata_9,Totali_andata_10,Totali_andata_11,Totali_andata_12,Totali_andata_13,Totali_ritorno_1,Totali_ritorno_2,Totali_ritorno_3,Totali_ritorno_4,Totali_ritorno_5,Totali_ritorno_6,Totali_ritorno_7,Totali_ritorno_8,Totali_ritorno_9,Totali_ritorno_10,Totali_ritorno_11,Totali_ritorno_12,Totali_ritorno_13,DiffSet_andata_1,DiffSet_andata_2,DiffSet_andata_3,DiffSet_andata_4,DiffSet_andata_5,DiffSet_andata_6,DiffSet_andata_7,DiffSet_andata_8,DiffSet_andata_9,DiffSet_andata_10,DiffSet_andata_11,DiffSet_andata_12,DiffSet_andata_13,DiffSet_ritorno_1,DiffSet_ritorno_2,DiffSet_ritorno_3,DiffSet_ritorno_4,DiffSet_ritorno_5,DiffSet_ritorno_6,DiffSet_ritorno_7,DiffSet_ritorno_8,DiffSet_ritorno_9,DiffSet_ritorno_10,DiffSet_ritorno_11,DiffSet_ritorno_12,DiffSet_ritorno_13,DiffTot_andata_1,DiffTot_andata_2,DiffTot_andata_3,DiffTot_andata_4,DiffTot_andata_5,DiffTot_andata_6,DiffTot_andata_7,DiffTot_andata_8,DiffTot_andata_9,DiffTot_andata_10,DiffTot_andata_11,DiffTot_andata_12,DiffTot_andata_13,DiffTot_ritorno_1,DiffTot_ritorno_2,DiffTot_ritorno_3,DiffTot_ritorno_4,DiffTot_ritorno_5,DiffTot_ritorno_6,DiffTot_ritorno_7,DiffTot_ritorno_8,DiffTot_ritorno_9,DiffTot_ritorno_10,DiffTot_ritorno_11,DiffTot_ritorno_12,DiffTot_ritorno_13
Sabbi Giulio,Exprivia Molfetta,4,7,11,16,19,23,27,30,35,39,43,47,52,54,57,60,64,67,72,77,81,84,88,92,97,100,27,40,75,99,107,129,145,163,190,222,250,272,300,300,320,345,367,384,415,453,472,482,496,520,555,564,4,3,4,5,3,4,4,3,5,4,4,4,5,2,3,3,4,3,5,5,4,3,4,4,5,3,27,13,35,24,8,22,16,18,27,32,28,22,28,0,20,25,22,17,31,38,19,10,14,24,35,9
Hernandez Ramos Fernando,LPR Piacenza,4,7,12,17,21,26,29,33,37,40,43,47,51,55,59,62,66,69,73,78,83,87,90,95,99,104,18,32,57,78,106,145,168,192,214,231,245,265,291,315,336,346,363,380,401,430,447,467,481,511,535,563,4,3,5,5,4,5,3,4,4,3,3,4,4,4,4,3,4,3,4,5,5,4,3,5,4,5,18,14,25,21,28,39,23,24,22,17,14,20,26,24,21,10,17,17,21,29,17,20,14,30,24,28
Miskevich Radzivon,Biosì Indexa Sora,3,6,9,13,16,20,23,26,31,34,39,44,49,52,56,59,62,66,70,75,79,83,88,92,95,98,14,23,35,50,67,90,101,114,147,162,191,216,242,253,265,280,288,298,316,345,366,387,414,445,463,473,3,3,3,4,3,4,3,3,5,3,5,5,5,3,4,3,3,4,4,5,4,4,5,4,3,3,14,9,12,15,17,23,11,13,33,15,29,25,26,11,12,15,8,10,18,29,21,21,27,31,18,10
Torres Maurice Armando,Bunge Ravenna,3,8,13,18,22,26,30,35,39,42,45,49,54,58,62,66,69,72,77,80,84,87,90,93,97,100,8,35,54,80,91,113,135,155,180,193,207,223,250,276,300,316,329,337,358,370,393,402,416,436,451,465,3,5,5,5,4,4,4,5,4,3,3,4,5,4,4,4,3,3,5,3,4,3,3,3,4,3,8,27,19,26,11,22,22,20,25,13,14,16,27,26,24,16,13,8,21,12,23,9,14,20,15,14
Sokolov Tsvetan,Cucine Lube Civitanova,3,6,10,14,17,22,25,30,34,37,40,44,49,52,56,59,62,65,69,73,77,80,83,88,91,95,16,32,55,75,86,105,123,148,177,192,204,224,253,266,283,301,310,328,346,360,377,386,405,425,437,452,3,3,4,4,3,5,3,5,4,3,3,4,5,3,4,3,3,3,4,4,4,3,3,5,3,4,16,16,23,20,11,19,18,25,29,15,12,20,29,13,17,18,9,18,18,14,17,9,19,20,12,15
Vettori Luca,Azimut Modena,3,7,12,15,18,21,25,28,32,36,41,45,50,53,58,62,65,70,73,78,81,86,90,93,97,101,22,44,62,75,79,91,108,121,131,144,162,187,211,222,243,263,274,289,303,325,336,360,373,389,406,421,3,4,5,3,3,3,4,3,4,4,5,4,5,3,5,4,3,5,3,5,3,5,4,3,4,4,22,22,18,13,4,12,17,13,10,13,18,25,24,11,21,20,11,15,14,22,11,24,13,16,17,15
Kovacevic Uros,Calzedonia Verona,3,6,11,16,16,20,23,26,28,33,36,39,42,46,49,52,55,58,62,66,69,72,75,80,83,85,17,33,60,81,81,103,117,124,124,149,164,171,188,209,225,241,257,273,287,308,320,330,346,365,370,377,3,3,5,5,0,4,3,3,2,5,3,3,3,4,3,3,3,3,4,4,3,3,3,5,3,2,17,16,27,21,0,22,14,7,0,25,15,7,17,21,16,16,16,16,14,21,12,10,16,19,5,7
Maar Stephen,Kioene Padova,3,7,12,15,18,23,26,30,34,39,42,47,50,54,58,62,65,68,72,76,81,85,88,93,96,99,16,31,44,63,73,89,104,124,141,155,159,170,178,190,207,214,221,235,251,271,296,320,329,345,361,368,3,4,5,3,3,5,3,4,4,5,3,5,3,4,4,4,3,3,4,4,5,4,3,5,3,3,16,15,13,19,10,16,15,20,17,14,4,11,8,12,17,7,7,14,16,20,25,24,9,16,16,7
De Barros Ferreira Joao Rafael,Exprivia Molfetta,4,7,11,16,19,23,27,30,35,39,43,47,52,56,59,62,66,69,74,79,83,86,90,94,99,102,18,25,31,45,56,65,84,99,115,128,144,156,179,199,214,228,237,250,263,280,291,300,313,331,339,345,4,3,4,5,3,4,4,3,5,4,4,4,5,4,3,3,4,3,5,5,4,3,4,4,5,3,18,7,6,14,11,9,19,15,16,13,16,12,23,20,15,14,9,13,13,17,11,9,13,18,8,6
Juantorena Osmany,Cucine Lube Civitanova,3,6,10,12,15,20,23,28,31,35,38,42,47,50,54,57,60,63,67,67,71,74,77,81,81,85,17,28,45,53,66,82,91,109,115,125,141,162,175,187,200,213,232,242,258,258,276,289,303,314,314,331,3,3,4,2,3,5,3,5,3,4,3,4,5,3,4,3,3,3,4,0,4,3,3,4,0,4,17,11,17,8,13,16,9,18,6,10,16,21,13,12,13,13,19,10,16,0,18,13,14,11,0,17
