Giornata,SetGioc.,PUNTI_Tot,PUNTI_Vin,PUNTI_BP,BATTUTA_Tot,BATTUTA_Ace,BATTUTA_Err.,BATTUTA_AceperSet,BATTUTA_Effic.,RICEZIONE_Tot,RICEZIONE_Err.,RICEZIONE_Neg.,RICEZIONE_Prf.,RICEZIONE_Prf..,RICEZIONE_Effic.,ATTACCO_Tot,ATTACCO_Err.,ATTACCO_Murati,ATTACCO_Prf.,ATTACCO_Prf..,ATTACCO_Effic.,MURO_Prf.,MURO_PuntiperSet,team,risultato,vit,cum
Andata_1,3,42,29,13,62,4,9,1.33,-0.08,64,8,14,19,29.7,0.17,80,4,13,32,40,0.35,6,2,Top Volley Latina,0,0,0
Andata_2,5,84,55,29,114,4,16,0.8,-0.11,99,7,31,23,23.2,0.16,131,9,11,64,48.9,0.42,16,3.2,Top Volley Latina,2,0,0
Andata_3,4,58,42,16,87,4,18,1,-0.16,77,12,23,18,23.4,0.08,93,7,8,46,49.5,0.42,8,2,Top Volley Latina,1,0,0
Andata_4,3,32,26,6,54,2,14,0.67,-0.22,61,7,24,20,32.8,0.21,65,8,6,25,38.5,0.26,5,1.67,Top Volley Latina,0,0,0
Andata_5,3,39,30,9,62,2,12,0.67,-0.16,63,13,20,13,20.6,NA,71,4,7,32,45.1,0.39,5,1.67,Top Volley Latina,0,0,0
Andata_6,3,47,34,13,65,3,10,1,-0.11,64,7,29,18,28.1,0.17,91,6,5,40,44,0.37,4,1.33,Top Volley Latina,0,0,0
Andata_7,4,69,45,24,98,5,14,1.25,-0.09,66,5,25,15,22.7,0.15,90,3,5,56,62.2,0.59,8,2,Top Volley Latina,3,1,1
Andata_8,4,74,48,26,102,6,12,1.5,-0.06,84,10,33,36,42.9,0.31,100,6,13,50,50,0.44,18,4.5,Top Volley Latina,1,0,1
Andata_9,5,74,49,25,113,5,15,1,-0.09,94,5,42,24,25.5,0.2,126,14,10,60,47.6,0.37,9,1.8,Top Volley Latina,3,1,2
Andata_10,5,73,46,27,104,8,12,1.6,-0.04,90,9,34,23,25.6,0.16,125,13,14,56,44.8,0.34,9,1.8,Top Volley Latina,2,0,2
Andata_11,3,36,29,7,59,1,16,0.33,-0.25,59,4,19,17,28.8,0.22,74,8,8,31,41.9,0.31,4,1.33,Top Volley Latina,0,0,2
Andata_12,5,66,48,18,108,3,13,0.6,-0.09,73,3,41,14,19.2,0.15,111,7,11,53,47.7,0.41,10,2,Top Volley Latina,3,1,3
Andata_13,5,82,60,22,112,6,16,1.2,-0.09,95,4,42,20,21.1,0.17,133,13,9,66,49.6,0.4,10,2,Top Volley Latina,3,1,4
Ritorno_1,4,72,49,23,104,3,18,0.75,-0.14,86,5,46,24,27.9,0.22,117,13,9,56,47.9,0.37,13,3.25,Top Volley Latina,1,0,4
Ritorno_2,4,67,41,26,100,4,11,1,-0.07,84,9,34,26,31,0.2,112,10,14,51,45.5,0.37,12,3,Top Volley Latina,3,1,5
Ritorno_3,3,30,26,4,46,1,9,0.33,-0.17,62,8,24,11,17.7,0.05,63,5,7,27,42.9,0.35,2,0.67,Top Volley Latina,0,0,5
Ritorno_4,3,39,28,11,62,3,11,1,-0.13,58,8,24,13,22.4,0.09,65,6,8,25,38.5,0.29,11,3.67,Top Volley Latina,0,0,5
Ritorno_5,5,67,45,22,103,5,14,1,-0.09,91,14,33,19,20.9,0.05,116,9,10,48,41.4,0.34,14,2.8,Top Volley Latina,2,0,5
Ritorno_6,3,59,33,26,73,10,7,3.33,0.04,53,3,23,17,32.1,0.26,85,10,2,41,48.2,0.36,8,2.67,Top Volley Latina,3,1,6
Ritorno_7,5,71,54,17,100,1,16,0.2,-0.15,89,8,48,19,21.3,0.12,116,6,9,62,53.4,0.48,8,1.6,Top Volley Latina,2,0,6
Ritorno_8,5,61,44,17,99,2,21,0.4,-0.19,78,6,39,17,21.8,0.14,96,10,10,51,53.1,0.43,8,1.6,Top Volley Latina,2,0,6
Ritorno_9,4,67,37,30,101,7,10,1.75,-0.03,59,4,31,14,23.7,0.17,92,7,8,50,54.3,0.47,10,2.5,Top Volley Latina,3,1,7
Ritorno_10,3,53,29,24,73,2,8,0.67,-0.08,45,5,14,19,42.2,0.31,64,3,8,40,62.5,0.58,11,3.67,Top Volley Latina,3,1,8
Ritorno_11,4,60,43,17,86,3,14,0.75,-0.13,83,13,41,17,20.5,0.05,96,6,10,50,52.1,0.46,7,1.75,Top Volley Latina,1,0,8
Ritorno_12,3,50,29,21,70,2,7,0.67,-0.07,60,11,28,12,20,0.02,75,3,6,43,57.3,0.53,5,1.67,Top Volley Latina,0,0,8
Ritorno_13,4,75,47,28,100,3,12,0.75,-0.09,86,9,34,25,29.1,0.19,108,9,9,58,53.7,0.45,14,3.5,Top Volley Latina,1,0,8
Andata_1,3,59,33,26,73,3,11,1,-0.11,46,4,16,13,28.3,0.2,87,5,5,50,57.5,0.52,6,2,Cucine Lube Civitanova,3,1,1
Andata_2,3,56,33,23,75,5,17,1.67,-0.16,46,5,18,15,32.6,0.22,72,2,3,40,55.6,0.53,11,3.67,Cucine Lube Civitanova,3,1,2
Andata_3,4,69,39,30,95,11,18,2.75,-0.07,69,9,24,23,33.3,0.2,91,5,8,50,54.9,0.49,8,2,Cucine Lube Civitanova,3,1,3
Andata_4,4,72,42,30,95,10,22,2.5,-0.13,61,3,24,22,36.1,0.31,87,4,7,52,59.8,0.55,10,2.5,Cucine Lube Civitanova,3,1,4
Andata_5,3,51,36,15,73,3,20,1,-0.23,48,5,22,13,27.1,0.17,68,5,3,42,61.8,0.54,6,2,Cucine Lube Civitanova,3,1,5
Andata_6,5,67,39,28,101,5,20,1,-0.15,71,8,30,18,25.4,0.14,101,9,8,57,56.4,0.48,5,1,Cucine Lube Civitanova,3,1,6
Andata_7,3,56,28,28,74,6,15,2,-0.12,47,3,14,17,36.2,0.3,82,6,5,45,54.9,0.48,5,1.67,Cucine Lube Civitanova,3,1,7
Andata_8,5,77,44,33,105,9,22,1.8,-0.12,88,10,33,28,31.8,0.2,121,11,13,62,51.2,0.42,6,1.2,Cucine Lube Civitanova,3,1,8
Andata_9,4,75,52,23,100,4,20,1,-0.16,76,3,28,20,26.3,0.22,106,5,9,58,54.7,0.5,13,3.25,Cucine Lube Civitanova,3,1,9
Andata_10,4,62,45,17,86,4,21,1,-0.2,79,9,36,12,15.2,0.04,100,12,9,47,47,0.35,11,2.75,Cucine Lube Civitanova,1,0,9
Andata_11,3,55,26,29,73,6,11,2,-0.07,41,2,13,18,43.9,0.39,63,4,4,43,68.3,0.62,6,2,Cucine Lube Civitanova,3,1,10
Andata_12,4,73,42,31,96,13,18,3.25,-0.05,63,8,25,21,33.3,0.21,79,2,5,53,67.1,0.65,7,1.75,Cucine Lube Civitanova,3,1,11
Andata_13,5,84,51,33,117,5,29,1,-0.21,86,9,36,18,20.9,0.1,118,8,13,64,54.2,0.47,15,3,Cucine Lube Civitanova,2,0,11
Ritorno_1,3,55,31,24,73,5,15,1.67,-0.14,49,3,17,18,36.7,0.31,73,8,7,43,58.9,0.48,7,2.33,Cucine Lube Civitanova,3,1,12
Ritorno_2,4,59,35,24,94,8,14,2,-0.06,72,7,35,25,34.7,0.25,86,7,12,41,47.7,0.4,10,2.5,Cucine Lube Civitanova,3,1,13
Ritorno_3,3,58,31,27,73,6,11,2,-0.07,37,2,10,17,45.9,0.41,60,2,2,45,75,0.72,7,2.33,Cucine Lube Civitanova,3,1,14
Ritorno_4,3,52,31,21,73,7,19,2.33,-0.16,45,4,16,16,35.6,0.27,59,5,1,41,69.5,0.61,4,1.33,Cucine Lube Civitanova,3,1,15
Ritorno_5,3,54,25,29,74,8,15,2.67,-0.09,40,5,12,13,32.5,0.2,66,3,3,37,56.1,0.52,9,3,Cucine Lube Civitanova,3,1,16
Ritorno_6,4,70,49,21,96,3,16,0.75,-0.14,73,9,26,20,27.4,0.15,109,8,6,56,51.4,0.44,11,2.75,Cucine Lube Civitanova,3,1,17
Ritorno_7,4,77,44,33,97,7,22,1.75,-0.15,62,1,26,20,32.3,0.31,98,3,5,63,64.3,0.61,7,1.75,Cucine Lube Civitanova,3,1,18
Ritorno_8,4,73,38,35,101,10,25,2.5,-0.15,59,4,26,14,23.7,0.17,87,3,6,56,64.4,0.61,7,1.75,Cucine Lube Civitanova,3,1,19
Ritorno_9,3,58,28,30,74,4,6,1.33,-0.03,47,5,20,12,25.5,0.15,74,5,5,40,54.1,0.47,14,4.67,Cucine Lube Civitanova,3,1,20
Ritorno_10,3,54,23,31,74,10,13,3.33,-0.04,38,1,12,14,36.8,0.34,63,5,6,33,52.4,0.44,11,3.67,Cucine Lube Civitanova,3,1,21
Ritorno_11,5,75,42,33,103,10,24,2,-0.14,77,6,27,27,35.1,0.27,109,7,9,54,49.5,0.43,11,2.2,Cucine Lube Civitanova,3,1,22
Ritorno_12,5,68,44,24,98,7,18,1.4,-0.11,82,14,34,15,18.3,0.01,94,8,6,53,56.4,0.48,8,1.6,Cucine Lube Civitanova,2,0,22
Ritorno_13,4,71,43,28,99,6,20,1.5,-0.14,62,5,27,21,33.9,0.26,97,7,8,55,56.7,0.49,10,2.5,Cucine Lube Civitanova,3,1,23
Andata_1,4,61,37,24,93,6,21,1.5,-0.16,79,11,31,25,31.6,0.18,112,9,13,48,42.9,0.35,7,1.75,Revivre Milano,3,1,1
Andata_2,4,58,41,17,87,4,18,1,-0.16,78,11,35,18,23.1,0.09,92,4,10,45,48.9,0.45,9,2.25,Revivre Milano,1,0,1
Andata_3,3,37,27,10,58,2,10,0.67,-0.14,60,7,33,9,15,0.03,83,6,10,32,38.6,0.31,3,1,Revivre Milano,0,0,1
Andata_4,5,83,51,32,108,8,16,1.6,-0.07,94,10,42,24,25.5,0.15,137,7,10,63,46,0.41,12,2.4,Revivre Milano,2,0,1
Andata_5,3,32,23,9,60,5,12,1.67,-0.12,53,3,33,9,17,0.11,57,9,6,24,42.1,0.26,3,1,Revivre Milano,0,0,1
Andata_6,5,92,60,32,132,7,23,1.4,-0.12,110,12,54,41,37.3,0.26,146,16,12,70,47.9,0.37,15,3,Revivre Milano,2,0,1
Andata_7,3,40,28,12,58,5,14,1.67,-0.16,62,3,35,14,22.6,0.18,82,8,8,32,39,0.29,3,1,Revivre Milano,0,0,1
