Club,Set_andata_1,Set_andata_2,Set_andata_3,Set_andata_4,Set_andata_5,Set_andata_6,Set_andata_7,Set_andata_8,Set_andata_9,Set_andata_10,Set_andata_11,Set_andata_12,Set_andata_13,Set_ritorno_1,Set_ritorno_2,Set_ritorno_3,Set_ritorno_4,Set_ritorno_5,Set_ritorno_6,Set_ritorno_7,Set_ritorno_8,Set_ritorno_9,Set_ritorno_10,Set_ritorno_11,Set_ritorno_12,Set_ritorno_13,Totali_andata_1,Totali_andata_2,Totali_andata_3,Totali_andata_4,Totali_andata_5,Totali_andata_6,Totali_andata_7,Totali_andata_8,Totali_andata_9,Totali_andata_10,Totali_andata_11,Totali_andata_12,Totali_andata_13,Totali_ritorno_1,Totali_ritorno_2,Totali_ritorno_3,Totali_ritorno_4,Totali_ritorno_5,Totali_ritorno_6,Totali_ritorno_7,Totali_ritorno_8,Totali_ritorno_9,Totali_ritorno_10,Totali_ritorno_11,Totali_ritorno_12,Totali_ritorno_13,DiffSet_andata_1,DiffSet_andata_2,DiffSet_andata_3,DiffSet_andata_4,DiffSet_andata_5,DiffSet_andata_6,DiffSet_andata_7,DiffSet_andata_8,DiffSet_andata_9,DiffSet_andata_10,DiffSet_andata_11,DiffSet_andata_12,DiffSet_andata_13,DiffSet_ritorno_1,DiffSet_ritorno_2,DiffSet_ritorno_3,DiffSet_ritorno_4,DiffSet_ritorno_5,DiffSet_ritorno_6,DiffSet_ritorno_7,DiffSet_ritorno_8,DiffSet_ritorno_9,DiffSet_ritorno_10,DiffSet_ritorno_11,DiffSet_ritorno_12,DiffSet_ritorno_13,DiffTot_andata_1,DiffTot_andata_2,DiffTot_andata_3,DiffTot_andata_4,DiffTot_andata_5,DiffTot_andata_6,DiffTot_andata_7,DiffTot_andata_8,DiffTot_andata_9,DiffTot_andata_10,DiffTot_andata_11,DiffTot_andata_12,DiffTot_andata_13,DiffTot_ritorno_1,DiffTot_ritorno_2,DiffTot_ritorno_3,DiffTot_ritorno_4,DiffTot_ritorno_5,DiffTot_ritorno_6,DiffTot_ritorno_7,DiffTot_ritorno_8,DiffTot_ritorno_9,DiffTot_ritorno_10,DiffTot_ritorno_11,DiffTot_ritorno_12,DiffTot_ritorno_13
Molfetta,4,7,11,16,19,23,27,30,35,39,43,47,52,56,59,62,66,69,74,79,83,86,90,94,99,102,67,102,175,244,275,334,396,451,517,594,668,722,805,861,916,974,1022,1077,1150,1234,1291,1328,1383,1451,1524,1559,4,3,4,5,3,4,4,3,5,4,4,4,5,4,3,3,4,3,5,5,4,3,4,4,5,3,67,35,73,69,31,59,62,55,66,77,74,54,83,56,55,58,48,55,73,84,57,37,55,68,73,35
Perugia,4,8,11,16,21,25,29,34,39,42,45,48,51,55,59,62,65,69,72,77,81,84,88,92,95,98,65,128,178,247,338,401,458,526,599,651,696,753,810,872,944,997,1055,1127,1171,1234,1284,1337,1410,1487,1533,1588,4,4,3,5,5,4,4,5,5,3,3,3,3,4,4,3,3,4,3,5,4,3,4,4,3,3,65,63,50,69,91,63,57,68,73,52,45,57,57,62,72,53,58,72,44,63,50,53,73,77,46,55
Modena,3,7,12,15,18,21,25,28,32,36,41,45,50,53,58,62,65,70,73,78,81,86,90,93,97,101,62,135,212,266,322,376,447,496,547,611,679,754,830,882,960,1022,1070,1154,1210,1284,1330,1406,1476,1526,1591,1645,3,4,5,3,3,3,4,3,4,4,5,4,5,3,5,4,3,5,3,5,3,5,4,3,4,4,62,73,77,54,56,54,71,49,51,64,68,75,76,52,78,62,48,84,56,74,46,76,70,50,65,54
Milano Power,4,8,11,16,19,24,27,30,34,37,40,45,48,52,57,60,63,66,70,74,77,81,86,89,92,95,61,119,156,239,271,363,403,440,504,543,588,670,707,776,840,879,923,955,1010.9999999999999,1073,1106,1163,1244,1288,1352,1389,4,4,3,5,3,5,3,3,4,3,3,5,3,4,5,3,3,3,4,4,3,4,5,3,3,3,61,58,37,83,32,92,40,37,64,39,45,82,37,69,64,39,44,32,55.999999999999886,62.000000000000114,33,57,81,44,64,37
Macerata,3,6,10,14,17,22,25,30,34,38,41,45,50,53,57,60,63,66,70,74,78,81,84,89,94,98,59,115,184,256,307,374,430,507,582,644,699,772,856,911,970,1028,1080,1134,1204,1281,1354,1412,1466,1541,1609,1680,3,3,4,4,3,5,3,5,4,4,3,4,5,3,4,3,3,3,4,4,4,3,3,5,5,4,59,56,69,72,51,67,56,77,75,62,55,73,84,55,59,58,52,54,70,77,73,58,54,75,68,71
Verona,3,6,11,16,20,24,27,30,33,38,41,44,47,51,54,57,60,63,67,71,74,77,80,85,88,91,59,105,185,266,333,409,460,506,541,620,656,690,756,830,882,939,994,1051,1118,1190,1240,1282,1339,1401,1438,1496,3,3,5,5,4,4,3,3,3,5,3,3,3,4,3,3,3,3,4,4,3,3,3,5,3,3,59,46,80,81,67,76,51,46,35,79,36,34,66,74,52,57,55,57,67,72,50,42,57,62,37,58
Trento,3,6,11,14,18,22,26,29,32,36,41,46,51,56,60,64,67,70,73,76,79,82,85,88,91,94,56,113,195,247,312,373,453,511,565,626,690,768,845,914,992,1057,1113,1172,1208,1257,1305,1367,1396,1447,1499,1549,3,3,5,3,4,4,4,3,3,4,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,56,57,82,52,65,61,80,58,54,61,64,78,77,69,78,65,56,59,36,49,48,62,29,51,52,50
Padova,3,7,12,15,18,23,26,30,34,39,42,47,50,54,58,62,65,68,72,76,81,85,88,93,96,99,52,110,176,217,270,332,383,447,499,584,623,693,726,786,841,883,924,964,1020,1079,1162,1241,1283,1351,1410,1450,3,4,5,3,3,5,3,4,4,5,3,5,3,4,4,4,3,3,4,4,5,4,3,5,3,3,52,58,66,41,53,62,51,64,52,85,39,70,33,60,55,42,41,40,56,59,83,79,42,68,59,40
Piacenza,4,7,12,17,21,26,29,33,37,40,43,47,51,55,59,62,66,69,73,78,83,87,90,95,99,104,51,86,164,235,308,404,462,539,609,664,716,776,845,903,974,1020.9999999999999,1091,1128,1210,1290,1357,1429,1462,1548,1615,1691,4,3,5,5,4,5,3,4,4,3,3,4,4,4,4,3,4,3,4,5,5,4,3,5,4,5,51,35,78,71,73,96,58,77,70,55,52,60,69,58,71,46.999999999999886,70.00000000000011,37,82,80,67,72,33,86,67,76
Ravenna Robur,3,8,13,18,22,26,30,35,39,42,45,49,54,58,62,66,69,72,77,80,84,87,90,93,97,100,47,136,214,297,351,420,491,567,630,674,723,792,871,953,1027,1085,1132,1171,1235,1272,1342,1385,1434,1491,1562,1615,3,5,5,5,4,4,4,5,4,3,3,4,5,4,4,4,3,3,5,3,4,3,3,3,4,3,47,89,78,83,54,69,71,76,63,44,49,69,79,82,74,58,47,39,64,37,70,43,49,57,71,53
